hrs,hra,hsera,hr,hera,ars,ara,asera,ar,aera,winner
4.26,5.16,5.919055649241147,0.6585365853658537,9.0,4.39,3.49,4.083484573502722,1.2258064516129032,4.97,1
5.52,4.17,3.576923076923077,1.3571428571428572,3.68,3.96,4.84,3.9770867430441896,0.5952380952380952,5.37,1
4.21,4.8,4.5552147239263805,0.8333333333333334,4.85,3.84,4.78,3.272727272727273,0.717948717948718,4.35,0
5.25,3.84,2.872340425531915,1.5769230769230769,3.39,4.23,4.37,2.789757412398922,0.9696969696969697,2.29,0
4.0,3.99,2.3823529411764706,1.3103448275862069,2.25,5.09,5.11,4.644128113879003,1.096774193548387,3.56,0
4.49,4.12,4.490238611713666,1.5555555555555556,3.7,4.84,5.15,4.642262895174709,0.9705882352941176,5.22,1
3.99,4.72,4.723756906077348,0.9714285714285714,4.91,4.51,5.42,4.846153846153846,0.6341463414634146,4.85,0
4.67,3.58,3.319672131147541,1.68,3.09,4.24,5.47,3.846153846153846,0.4166666666666667,5.14,1
4.12,4.54,7.137931034482759,1.0303030303030303,5.72,3.88,3.84,3.559322033898305,0.7631578947368421,3.39,1
5.03,4.29,5.624999999999999,1.03125,4.91,3.91,4.0,2.6364846870838883,1.0625,2.31,0
3.81,4.09,5.590062111801242,0.8285714285714286,2.78,3.42,4.91,6.1875,0.5348837209302325,4.8,1
4.88,4.97,4.30939226519337,0.8571428571428571,4.5,4.07,4.47,4.723756906077348,1.0606060606060606,3.36,1
4.25,4.26,24.545454545454543,1.3214285714285714,20.25,4.03,5.15,5.638051044083526,0.4888888888888889,5.64,1
4.32,5.19,4.062927496580028,0.6829268292682927,4.6,3.96,3.96,2.4456521739130435,1.2666666666666666,1.52,1
5.55,4.16,3.073170731707317,1.3928571428571428,3.77,5.01,3.44,4.061757719714964,1.72,3.38,1
3.88,3.48,2.478485370051635,1.4,2.33,4.51,3.99,3.130434782608696,1.2666666666666666,4.46,0
4.43,3.56,4.078549848942598,1.1875,2.5,5.05,5.05,3.8352272727272725,1.1290322580645162,2.92,1
3.96,4.76,4.066265060240964,0.9444444444444444,3.91,4.93,3.72,1.816958277254374,1.6538461538461537,3.38,1
4.79,3.63,1.5384615384615383,1.72,1.43,4.28,5.58,2.562277580071174,0.40816326530612246,3.04,1
4.98,4.27,4.251968503937007,1.0,6.75,3.9,3.97,8.571428571428571,1.09375,3.77,0
4.86,5.19,4.172185430463577,0.9714285714285714,4.98,3.88,4.81,6.064690026954177,0.725,5.16,1
4.26,5.64,4.750733137829912,0.4,3.61,5.18,3.81,2.894333843797856,1.5185185185185186,2.64,0
4.86,4.89,2.3788546255506606,0.8857142857142857,4.62,4.01,4.46,5.588235294117647,1.0294117647058822,5.82,1
4.48,3.93,4.117647058823529,1.3,4.01,3.82,3.79,3.75,0.7435897435897436,3.75,0
4.36,5.16,3.75,0.7073170731707317,4.86,3.94,4.0,3.4615384615384617,1.2258064516129032,2.27,1
5.62,4.13,2.827225130890052,1.4285714285714286,2.98,4.97,3.54,2.33287858117326,1.6538461538461537,1.89,1
4.22,4.82,4.5,0.8108108108108109,2.19,5.06,4.57,5.183246073298429,1.5555555555555556,4.28,1
3.96,3.97,6.096774193548387,1.125,5.74,4.54,4.11,2.5233644859813085,1.5925925925925926,2.51,0
3.39,4.88,6.517241379310345,0.5227272727272727,6.52,4.33,4.24,7.5,1.3571428571428572,4.26,1
4.45,3.56,3.503649635036496,1.21875,4.14,5.03,5.06,2.142857142857143,1.09375,1.93,1
3.99,4.76,3.13953488372093,0.9722222222222222,3.67,4.93,3.76,3.9779005524861875,1.5925925925925926,4.54,1
4.87,3.62,5.327102803738318,1.76,4.0,4.2,4.3,3.6231884057971016,1.0,4.25,1
3.96,4.88,6.607142857142857,0.5813953488372093,5.48,4.54,5.37,4.199066874027993,0.6585365853658537,3.49,0
3.8,4.05,3.9404553415061296,0.8571428571428571,3.86,3.82,3.46,5.4,1.3461538461538463,5.18,1
4.94,5.16,4.340836012861736,1.0,3.51,3.87,4.9,6.585365853658536,0.7073170731707317,0.0,1
4.2,5.61,4.458204334365325,0.39215686274509803,5.26,5.14,3.75,1.721311475409836,1.5555555555555556,2.38,0
4.06,5.16,6.70807453416149,0.5,6.65,4.91,4.37,2.6865671641791042,0.9428571428571428,2.66,0
